gene_id,gene_name,NCBI_Entrez_id,ICGC_0492,ICGC_0491,ICGC_0459,ICGC_0443,ICGC_0498,ICGC_0500,ICGC_0497,ICGC_0501,ICGC_0452,ICGC_0447,ICGC_0441,ICGC_0440,ICGC_0437,ICGC_0438,ICGC_0435,ICGC_0436,ICGC_0434,ICGC_0432,ICGC_0428,ICGC_0425,ICGC_0427
ENSG00000201229,SNORA63,NA,374,75,351,51,117,216,74,63,49,213,104,135,1715,254,233,126,182,164,354,104,180
ENSG00000201253,RNU4-10P,NA,5,2,1,0,10,2,11,7,3,4,2,5,30,6,9,4,8,17,26,7,5
ENSG00000201271,RNU1-112P,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
ENSG00000201287,RN7SKP171,NA,0,0,5,0,0,0,0,0,0,1,0,14,0,26,15,30,0,13,0,11,1
ENSG00000201289,RN7SKP76,NA,3,0,58,1,0,0,2,0,0,4,7,11,1,14,4,26,3,8,1,4,1
ENSG00000201291,RNU1-34P,NA,1,0,0,0,0,2,2,0,0,1,0,2,1,8,12,3,1,4,1,5,1
ENSG00000201302,SNORA65,26783,3,2,3,1,3,8,2,0,1,5,7,1,12,7,20,4,7,1,11,4,6
ENSG00000201315,RN7SKP227,NA,0,0,100,0,1,1,0,0,0,2,4,11,2,16,10,23,0,3,5,8,3
ENSG00000201348,RNU105B,26767,0,1,1,0,0,0,0,0,0,7,0,0,0,0,1,0,1,3,1,5,0
ENSG00000201358,RN7SKP193,NA,0,0,3,0,0,0,1,0,0,0,1,9,0,9,13,17,0,9,1,6,3
ENSG00000201364,RN7SKP37,NA,5,2,384,5,5,3,5,2,0,13,15,84,11,69,78,120,5,36,9,34,18
ENSG00000201376,SNORA70,NA,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0
ENSG00000201379,RNU4-76P,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000201384,SNORA32,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000201388,SNORA68,NA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000201395,RN7SKP257,NA,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,1,1
ENSG00000201416,NA,NA,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000201423,RN7SKP246,NA,0,0,1070,1,0,1,0,2,1,2,4,23,0,19,17,41,1,13,1,13,1
ENSG00000201428,RN7SKP71,NA,3,0,696,3,3,5,3,2,7,7,15,63,39,91,76,131,3,66,20,30,4
ENSG00000201435,RNU4-24P,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ENSG00000201439,RNU4-67P,NA,1,0,1,0,0,0,0,0,0,0,0,1,0,4,2,1,0,2,1,1,0
ENSG00000201448,SNORA63,NA,261,26,105,48,107,142,52,35,17,147,32,88,571,163,363,146,156,88,219,113,273
ENSG00000201457,SNORA55,677834,2,3,1,1,3,7,0,1,1,3,2,1,5,0,5,7,5,3,2,1,3
ENSG00000201491,RNU4-75P,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000201496,RN7SKP275,NA,0,0,11,0,0,0,0,0,0,3,0,7,1,6,4,8,2,4,1,6,1
ENSG00000201498,Y_RNA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000201510,RN7SKP217,NA,13,3,102,6,5,11,6,9,4,23,33,36,25,49,38,80,15,21,35,21,23
ENSG00000201512,SNORA71C,677839,18,7,6,7,19,26,17,17,10,27,39,15,66,19,44,36,61,31,121,20,33
ENSG00000201533,RN7SKP237,NA,0,0,87,1,2,3,3,1,0,3,1,12,1,16,16,13,5,9,2,5,3
ENSG00000201542,SNORA62,NA,0,1,0,0,1,4,0,0,1,0,0,0,4,0,1,0,0,1,6,0,0
ENSG00000201545,RNU4-85P,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000201558,RNVU1-6,101954276,2,3,72,1,0,1,1,0,2,3,8,3,8,2,5,3,3,0,3,6,4
ENSG00000201564,RN7SKP50,NA,0,0,35,1,0,0,1,2,0,3,7,26,4,31,27,53,2,18,3,15,0
ENSG00000201574,RNU1-93P,NA,0,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,3,0,0
ENSG00000201581,RN7SKP78,NA,4,5,7,0,0,5,0,2,2,4,0,9,11,19,12,19,2,11,5,12,0
ENSG00000201583,RN7SKP191,NA,4,0,646,1,1,6,5,2,1,6,5,6,14,11,7,23,5,8,11,10,4
ENSG00000201599,NA,NA,25,48,62,33,89,113,60,33,0,0,0,0,0,0,197,23,0,0,0,0,0
ENSG00000201600,RN7SKP124,NA,36,10,89,11,32,34,24,11,13,104,46,51,126,65,48,100,39,46,76,42,77
ENSG00000201609,RNU4-28P,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000201612,RN7SKP15,NA,0,0,18,1,1,0,1,0,0,1,1,16,2,17,17,27,1,10,1,8,1
ENSG00000201616,RNU1-91P,NA,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ENSG00000201628,RNU4-7P,NA,0,0,193,0,1,1,1,0,0,6,0,18,0,28,28,20,1,19,2,26,1
ENSG00000201640,RN7SKP28,NA,1,0,1,0,2,0,0,0,0,0,0,8,0,7,7,12,0,9,0,2,0
